Folio,ClienteID,VendedorID,Embarque,TimeID
A021106,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150916
A021107,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20191021
A021108,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170620
A021109,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150419
A021110,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170615
A021111,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20211023
A021112,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210306
A021113,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160413
A021114,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180109
A021115,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190706
A021116,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20211123
A021117,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210123
A021118,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150511
A021119,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20201110
A021120,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200108
A021121,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200908
A021122,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200624
A021123,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20140808
A021124,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20171130
A021125,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190225
A021126,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170630
A021127,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200608
A021128,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20201125
A021129,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150728
A021130,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150503
A021131,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20151218
A021132,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20171030
A021133,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190217
A021134,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220911
A021135,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160713
A021136,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180519
A021137,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20141025
A021138,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180706
A021139,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200415
A021140,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20140714
A021141,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200207
A021142,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170220
A021143,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170127
A021144,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170427
A021145,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150201
A021146,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150122
A021147,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210927
A021148,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210429
A021149,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160725
A021150,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220917
A021151,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160411
A021152,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200210
A021153,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210914
A021154,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170218
A021155,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180623
A021156,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220819
A021157,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20191109
A021158,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210413
A021159,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20171008
A021160,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160531
A021161,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220603
A021162,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190622
A021163,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20191001
A021164,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180731
A021165,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200619
A021166,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20161003
A021167,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200113
A021168,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20221013
A021169,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150906
A021170,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150606
A021171,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210503
A021172,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20140915
A021173,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200619
A021174,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20181108
A021175,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20201229
A021176,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160305
A021177,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200730
A021178,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20140616
A021179,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150915
A021180,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220811
A021181,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170616
A021182,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220928
A021183,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200518
A021184,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180929
A021185,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210930
A021186,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160327
A021187,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220120
A021188,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20141029
A021189,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170127
A021190,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170209
A021191,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150817
A021192,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20141216
A021193,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20141211
A021194,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220720
A021195,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210316
A021196,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20221107
A021197,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20140125
A021198,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220825
A021199,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190307
A021200,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190422
A021201,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20191102
A021202,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220410
A021203,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160221
A021204,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20140522
A021205,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20201111
A021206,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180117
A021207,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20140708
A021208,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170910
A021209,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190311
A021210,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160719
A021211,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190412
A021212,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180206
A021213,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20141003
A021214,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20141121
A021215,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180926
A021216,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220821
A021217,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150216
A021218,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220714
A021219,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200324
A021220,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20161012
A021221,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20151212
A021222,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200401
A021223,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20211029
A021224,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20141008
A021225,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150930
A021226,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190622
A021227,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160516
A021228,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160105
A021229,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20221122
A021230,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160928
A021231,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20141111
A021232,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210813
A021233,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180807
A021234,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20221211
A021235,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210718
A021236,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170408
A021237,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20141215
A021238,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200112
A021239,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200822
A021240,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150110
A021241,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180821
A021242,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150924
A021243,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220704
A021244,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210310
A021245,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20211028
A021246,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170222
A021247,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150517
A021248,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190201
A021249,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210729
A021250,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20201231
A021251,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190918
A021252,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20220619
A021253,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20181026
A021254,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20201013
A021255,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20221101
A021256,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200801
A021257,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170623
A021258,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200220
A021259,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170219
A021260,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210114
A021261,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190207
A021262,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20161205
A021263,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180507
A021264,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200823
A021265,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180610
A021266,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20140608
A021267,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20211107
A021268,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170130
A021269,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210323
A021270,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20200420
A021271,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190416
A021272,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160129
A021273,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20201028
A021274,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20140706
A021275,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20181014
A021276,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160529
A021277,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20201014
A021278,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20171002
A021279,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20141118
A021280,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170721
A021281,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170919
A021282,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20191219
A021283,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180717
A021284,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20210524
A021285,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190417
A021286,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20190928
A021287,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20160317
A021288,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20171115
A021289,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20170509
A021290,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20181030
A021291,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20201114
A021292,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20141213
A021293,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20180515
A021294,NO PROPORCIONADO,NO PROPORCIONADO,NO PROPORCIONADO,20150502
